document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,28124,1.1625111064915463,41.36267871244769
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,15924,1.052320000000001,29.82862999999997
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,29239,1.06522,33.19101000000001
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,16637,1.068844763736264,37.62334139621489
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,77956,1.1330800000000003,36.2318
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,52945,1.047580000000001,28.212540000000004
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,86619,1.1569500000000008,32.35955000000002
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,67221,1.1321299999999994,35.69168000000001
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,10678,1.0673171626984137,35.25685757936504
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,324623,1.0477899999999998,35.55797000000003
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,22241,1.0529100000000005,29.803689999999992
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,76026,1.049330000000002,29.5273
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,8697,1.0554800000000002,30.06045000000001
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,22483,1.0516200000000009,35.91367
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,65831,1.1474100000000005,32.039530000000006
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,89752,1.0549300000000008,23.181479999999983
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,15072,1.0580800000000008,25.63464
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,64833,1.1621406666666667,45.25964733333334
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,12434,1.1474550133477637,30.23396337079443
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,27842,1.14908,26.172070000000005
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,9589,1.1331946666666668,28.69640766666665
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,21270,1.0524600000000013,29.195390000000003
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,189973,1.18816,28.074000000000005
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,48249,1.1455200000000003,25.84390999999998
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,26610,1.1312700000000002,28.791949999999986
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,31689,1.2880499999999993,22.78765999999999
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,14156,1.151083219433903,30.072651724264592
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,14383,1.1475952180451126,29.09080964160401
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,8877,1.1629109523809524,29.95403166666664
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,82481,1.1324300000000005,32.26431999999998
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,73770,1.0524600000000002,26.99858
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,2685,1.0614458333333343,39.72463383333327
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,41322,1.1372299999999995,32.75034000000002
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,33668,1.0426100000000016,29.892220000000005
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,89060,1.0627700000000009,24.01336000000001
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,110858,1.120529999999999,32.52416000000001
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,9571,1.07201,29.071450000000013
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,19333,1.0600100000000006,32.18111999999999
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,12926,1.097759999999999,37.00941999999997
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,577840,1.12449,32.09808999999998
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,12480,1.1628127502576946,38.59443334583772
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,47869,1.0551,31.383000000000003
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,54046,1.05,32.45615
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,308196,1.12553,31.48026
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,11570,1.17101860014985,30.0331801100566
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,5687,1.0616075000000016,36.49840999999999
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,17268,1.1625111064915463,41.36267871244769
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,33304,1.0662199999999995,30.30079999999997
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,76893,1.0798999999999996,30.010989999999985
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,12030,1.149122655049203,38.24556113796212
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,27347,1.14296,32.83210999999998
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,37526,1.1529282356809851,32.2633446883672
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,10857,1.146552633815856,39.35078845881112
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,38360,1.0616075000000016,36.49840999999999
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,12255,1.143216761014782,37.18122373615941
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,15121,1.05818,30.24598
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,24552,1.0534899999999987,28.96508000000002
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,52031,1.0587500000000003,30.089240000000007
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,23214,1.0621499999999988,27.253820000000008
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,10326,1.149807293114566,31.6077016799004
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,23898,1.17318,29.39546
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,194931,1.1156799999999991,67.41395000000003
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,7745,1.156430000000001,35.60224000000003
623b5bcc9a79477293c33b56Rbe7Ti8uQlyni2v1TTPTaA,78638,1.1443299999999998,32.634689999999985
620104a99a7947846c646260vGhSVhpFT1iy6VZ0oq-oew,23082,1.156929999999999,28.62972000000001
624ffda39a794729f99bad79ZIebQLUATRWSnc37OMbrRQ,15338,1.1015699999999995,36.69545999999997
6277b3ff9a7947214f2f4893-tYxWzW4Qbmn-jwILfFFjA,11124,1.0615500000000004,33.590399999999974
624fd3a89a794716d372544f5CUAzs10TwWOwdg3dnyrFA,33351,1.1279799999999995,30.22422999999997
6262672c9a7947edb8be11e9AoBTZKPtRCy9Mu7fNFw_gA,20603,1.0776566666666654,46.7145633333334
6268bb739a79474eb1121e2eeAd9_fJrTnKh_MdcLYPqAw,33791,1.0532400000000008,28.655909999999977
6265f69e9a79474dc2dcb6eajq2srWZJTEeJvA4sAJhTdA,49090,1.047150000000001,25.144489999999983
6266f5389a7947b2e3ce1ba6qNyzvIL0Rl2zal9wzUl16A,17428,1.055778333333334,29.65957
